id,chave,valor,created_at,updated_at,empresa_id
0b9dfd31-8fbc-4770-8f75-5c250bfc7dee,auto_print_on_accept,false,2026-05-30 16:05:59.446311+00,2026-05-30 16:05:58.673+00,
0bca4734-547f-4302-acfd-7015b77b7ed3,cor_fonte,#1f2937,2026-05-14 23:05:43.998515+00,2026-06-01 03:25:25.06+00,
138212c2-9bfc-47d4-b9d9-9ef0c0dd253b,cat_font_F6RyZzXexkRgkmpDXNQ8,#1f2937,2026-05-14 23:05:43.975751+00,2026-05-15 00:29:09.75+00,
14cf7749-ef1b-419a-9e9e-c70103a9bf46,cor_background_header,#ffffff,2026-05-14 23:05:44.009303+00,2026-06-01 03:25:25.21+00,
19b2b0e4-cffd-4dce-84e4-2259ff768ba0,cat_font_j7RIypV9XtRqbmPGJdO8,#1f2937,2026-05-14 23:05:44.00781+00,2026-05-15 00:29:09.807+00,
1b0cf062-cbc1-4104-8b13-1b9e1d2c2284,cat_font_popular-items,#1f2937,2026-05-14 23:05:44.014036+00,2026-06-01 03:25:25.164+00,
1c6fa766-1a1f-4530-bc2b-c128f4d67881,layout_colunas_mobile,2,2026-05-14 23:05:43.990468+00,2026-06-01 03:25:25.162+00,
1d347dc2-2517-485e-aa80-662bacd70570,cat_bg_popular-items,#ffffff,2026-05-14 23:05:43.980357+00,2026-06-01 03:25:25.165+00,
209b6182-0d51-4c0a-aa72-725e3dcc7506,cat_bg_esfihas,#ffffff,2026-06-01 01:21:01.867249+00,2026-06-01 03:25:25.181+00,
23ce8454-b7b5-43c3-969e-30e06b6b59bc,cor_barra_botoes,#ffffff,2026-05-14 23:05:44.037588+00,2026-06-01 03:25:25.205+00,
24b210a6-1175-4a76-9a17-85e0ba5f325d,cat_bg_Ls2t9MzVocwrjNHZggCY,#ffffff,2026-05-14 23:05:44.03613+00,2026-05-15 00:29:09.869+00,
26196fc0-2be1-4018-b1c1-2f24054341c4,cat_bg_grandes-doces,#ffffff,2026-05-24 18:03:27.362566+00,2026-06-01 03:25:25.145+00,
2c5c97fc-de42-4594-a3aa-af57c70dcaf0,cat_font_pAx7BPmoOptpTIy2UpjC,#1f2937,2026-05-14 23:05:43.978243+00,2026-05-15 00:29:09.826+00,
2e476a44-f268-4bc8-9594-a54d98c626dd,cat_bg_9wR9DughPmJhoe1qKrgg,#ffffff,2026-05-14 23:05:44.017152+00,2026-05-15 00:29:09.819+00,
2fcd08a8-42e4-4e05-a7fd-4bec93afc5ae,cat_font_9wR9DughPmJhoe1qKrgg,#1f2937,2026-05-14 23:05:44.041531+00,2026-05-15 00:29:09.862+00,
313c80cc-3fd9-4ccc-9fb7-e45c00ae173b,comunicacao_apikey,9694838A41D6-49BB-950D-98A454DE36A6,2026-05-15 20:44:20.99161+00,2026-06-07 17:32:17.511+00,
3292c663-f2c6-413a-8ae5-a8a1f850fb3f,tempo_disparo_abandoned_cart,25,2026-05-29 12:32:01.324959+00,2026-05-29 14:05:58.8+00,
33df197c-2128-41dc-b146-598acba6732e,cat_font_D7nsxmmQL607ClEyvXpx,#1f2937,2026-05-14 23:05:44.00812+00,2026-05-15 00:29:09.877+00,
3406e73f-f613-4870-b923-c654855cc971,webhook_autenticacao,https://n8n-n8n-start.yh11mi.easypanel.host/webhook/auth_whatsapp_oliveira,2026-05-29 14:05:59.920697+00,2026-06-07 17:32:44.061+00,
34dcacb2-82e9-4a7c-9921-e7f53e8b9658,cat_bg_bebidas,#ffffff,2026-05-24 18:03:27.421698+00,2026-06-01 03:25:25.184+00,
3574f860-bb2b-4991-a642-8ac97837948a,webhook_chatassistant,https://n8n-n8n-start.yh11mi.easypanel.host/webhook/chatassistant_PO-MKT,2026-05-24 18:12:25.213942+00,2026-06-07 17:35:19.716+00,
3899493c-db02-489c-b5a9-6a2e1860eb1a,cor_chat_cabecalho,#ff4400,2026-05-14 23:05:44.041589+00,2026-06-01 03:25:25.213+00,
3bb3882d-9584-4ccb-ba50-65acdf4da16b,cat_font_grandes-salgadas,#1f2937,2026-05-24 18:03:27.455961+00,2026-06-01 03:25:25.178+00,
43055d55-910c-4b18-85ee-9a5062343466,cat_font_Ls2t9MzVocwrjNHZggCY,#1f2937,2026-05-14 23:05:44.020136+00,2026-05-15 00:29:09.827+00,
450f3b68-97c1-4fea-87fe-7cd195bc909f,cor_secundaria,#ff9933,2026-05-14 23:05:44.013307+00,2026-06-01 03:25:25.256+00,
47dbc2dc-9252-4753-b6cc-acbd70b097ed,empresa_logo_url,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/logo_pizzaria_oliveira-31052026224542.png,2026-05-14 23:05:43.975051+00,2026-06-01 03:25:25.263+00,
480e862e-fe68-4d4f-aea6-d16f9f1a50e1,cat_font_jkBwuJLLfaUr1Aj5CBXf,#1f2937,2026-05-14 23:05:44.005476+00,2026-05-15 00:29:09.853+00,
4a053060-fa71-4e96-be6f-3faae1b081c8,empresa_banner_mobile_url,https://xiahufkvflyuvzhuhwpm.supabase.co/storage/v1/object/public/imagens-cardapio/Design_sem_nome__15_-31052026225304.png,2026-05-14 23:05:43.999588+00,2026-06-01 03:25:25.257+00,
52234fea-3e00-452d-9740-069c241904b9,cor_fonte_secundaria,#6b7280,2026-05-14 23:05:44.000798+00,2026-06-01 03:25:25.147+00,
5b46c30b-7c0b-497a-bc44-abcb5f1f7456,cor_chat_fonte_cabecalho,#ffffff,2026-05-14 23:05:43.994465+00,2026-06-01 03:25:25.206+00,
5e2a24e1-4d63-4663-877f-51d420bbdff9,usar_mesma_imagem_mobile,false,2026-05-14 23:05:43.96444+00,2026-06-01 03:25:25.261+00,
5e8d3605-49d3-4428-9f64-a1e7a74595db,cat_bg_D7nsxmmQL607ClEyvXpx,#ffffff,2026-05-14 23:05:44.006979+00,2026-05-15 00:29:09.551+00,
6d387432-c184-4f19-9600-98a0ca4f3127,cat_bg_nWeLI4NR8xfspGpKzoYe,#ffffff,2026-05-14 23:05:44.013586+00,2026-05-15 00:29:09.871+00,
74edbf74-8d71-4a18-9d5c-95fa2a79638a,empresa_descricao,"Rua Nina Zanotto 646
Jd. Las Vegas - Sto André
(11) 91408-5832",2026-05-14 23:05:43.988103+00,2026-06-01 03:25:25.262+00,
8508715c-545f-46fe-a354-181b276bf5e2,cat_bg_jkBwuJLLfaUr1Aj5CBXf,#ffffff,2026-05-14 23:05:44.003531+00,2026-05-15 00:29:09.851+00,
876dd0e0-7625-445b-8a11-f602df4a4969,cor_fonte_titulo_produto,#1f2937,2026-06-01 01:21:01.875541+00,2026-06-01 03:25:25.07+00,
8be83d41-30e3-4de8-bcbd-ae63064f6aa0,comunicacao_instancia,oliveira_CF,2026-05-15 20:44:20.915694+00,2026-06-07 17:32:17.185+00,
8c7be0f1-5817-43ae-964c-5b4509a10d84,cat_bg_brotos-doces,#ffffff,2026-05-24 18:03:27.509775+00,2026-06-01 03:25:25.218+00,
8f1a7ea7-a85e-433c-a22c-b4009e531c3a,cor_background,#f9fafb,2026-05-14 23:05:44.021792+00,2026-06-01 03:25:25.169+00,
